УПД;Дата;Клиент;Номенклатура;Количество;ГТД;Менеджер
686;25.06.2024;ООО «ГАЗ ЛАЙН»;CB.050.0224.0005;40;10131010/050624/3138603;Александр Иванов
687;25.06.2024;ООО «ГАЗ ЛАЙН»;CB.050.0224.0005;29;10131010/080424/5028236;Александр Иванов
687;25.06.2024;ООО «ГАЗ ЛАЙН»;CB.050.0224.0005;16;10131010/050624/3138603;Александр Иванов
688;25.06.2024;ООО «ГАЗ ЛАЙН»;БП-00000448;25;10131010/240124/3016901;Александр Иванов
139;01.07.2024;Склад отв хранения Екатеринбург;CB.002.0604.0002.13;10;;Константин Доронин
139;01.07.2024;Склад отв хранения Екатеринбург;CB.002.0604.0002.15;5;;Константин Доронин
139;01.07.2024;Склад отв хранения Екатеринбург;БП-00001854;10;;Константин Доронин
139;01.07.2024;Склад отв хранения Екатеринбург;CB.002.0606.0001;10;;Константин Доронин
139;01.07.2024;Склад отв хранения Екатеринбург;CB.002.0604.001.15;5;;Константин Доронин
139;01.07.2024;Склад отв хранения Екатеринбург;CB.002.0204.003;15;;Константин Доронин
139;01.07.2024;Склад отв хранения Екатеринбург;CB.002.0203.001;25;;Константин Доронин
139;01.07.2024;Склад отв хранения Екатеринбург;БП-00001827;4;;Константин Доронин
139;01.07.2024;Склад отв хранения Екатеринбург;БП-00002085;2;;Константин Доронин
139;01.07.2024;Склад отв хранения Екатеринбург;C.01.SPF02.0020;5;;Константин Доронин
139;01.07.2024;Склад отв хранения Екатеринбург;C.01.SPF02.0021;5;;Константин Доронин
139;01.07.2024;Склад отв хранения Екатеринбург;JDB.C01.MIZ01.0001;10;;Константин Доронин
139;01.07.2024;Склад отв хранения Екатеринбург;JDB.C01.MIZ01.0002;10;;Константин Доронин
139;01.07.2024;Склад отв хранения Екатеринбург;JDB.C01.MIZ01.0003;10;;Константин Доронин
139;01.07.2024;Склад отв хранения Екатеринбург;JDB.C01.MIZ01.0004;10;;Константин Доронин
139;01.07.2024;Склад отв хранения Екатеринбург;CB.002.0206.001.30;10;;Константин Доронин
139;01.07.2024;Склад отв хранения Екатеринбург;CB.002.0604.0002.11;4;;Константин Доронин
139;01.07.2024;Склад отв хранения Екатеринбург;БП-00001830;10;;Константин Доронин
139;01.07.2024;Склад отв хранения Екатеринбург;БП-00001831;3;;Константин Доронин
139;01.07.2024;Склад отв хранения Екатеринбург;БП-00001821;2;;Константин Доронин
139;01.07.2024;Склад отв хранения Екатеринбург;CB.002.0640.001;1;;Константин Доронин
139;01.07.2024;Склад отв хранения Екатеринбург;CB.002.0604.001.13;3;;Константин Доронин
139;01.07.2024;Склад отв хранения Екатеринбург;CB.002.0204.003.11;15;;Константин Доронин
139;01.07.2024;Склад отв хранения Екатеринбург;CB.002.0204.003.13;5;;Константин Доронин
139;01.07.2024;Склад отв хранения Екатеринбург;CB.002.0204.003.15;5;;Константин Доронин
139;01.07.2024;Склад отв хранения Екатеринбург;CB.002.0203.001.20;3;;Константин Доронин
139;01.07.2024;Склад отв хранения Екатеринбург;CB.002.0206.001;8;;Константин Доронин
139;01.07.2024;Склад отв хранения Екатеринбург;C.01.SPF02.0012;2;;Константин Доронин
139;01.07.2024;Склад отв хранения Екатеринбург;C.01.SPF02.0013;2;;Константин Доронин
139;01.07.2024;Склад отв хранения Екатеринбург;C.01.SPF02.0011;1;;Константин Доронин
139;01.07.2024;Склад отв хранения Екатеринбург;CB.002.0604.0002.13;10;;Константин Доронин
139;01.07.2024;Склад отв хранения Екатеринбург;CB.002.0604.0002.15;5;;Константин Доронин
139;01.07.2024;Склад отв хранения Екатеринбург;БП-00001854;30;;Константин Доронин
139;01.07.2024;Склад отв хранения Екатеринбург;CB.002.0606.0001;15;;Константин Доронин
139;01.07.2024;Склад отв хранения Екатеринбург;CB.002.0604.001.15;5;;Константин Доронин
139;01.07.2024;Склад отв хранения Екатеринбург;CB.002.0203.001;40;;Константин Доронин
139;01.07.2024;Склад отв хранения Екатеринбург;БП-00001827;4;;Константин Доронин
139;01.07.2024;Склад отв хранения Екатеринбург;БП-00002085;5;;Константин Доронин
139;01.07.2024;Склад отв хранения Екатеринбург;C.01.SPF02.0020;5;;Константин Доронин
139;01.07.2024;Склад отв хранения Екатеринбург;C.01.SPF02.0021;5;;Константин Доронин
139;01.07.2024;Склад отв хранения Екатеринбург;JDB.C01.MIZ01.0001;10;;Константин Доронин
139;01.07.2024;Склад отв хранения Екатеринбург;JDB.C01.MIZ01.0002;10;;Константин Доронин
139;01.07.2024;Склад отв хранения Екатеринбург;JDB.C01.MIZ01.0003;10;;Константин Доронин
139;01.07.2024;Склад отв хранения Екатеринбург;JDB.C01.MIZ01.0004;10;;Константин Доронин
139;01.07.2024;Склад отв хранения Екатеринбург;CB.002.0206.001.30;10;;Константин Доронин
139;01.07.2024;Склад отв хранения Екатеринбург;CB.002.0604.0002.11;4;;Константин Доронин
139;01.07.2024;Склад отв хранения Екатеринбург;БП-00001830;20;;Константин Доронин
139;01.07.2024;Склад отв хранения Екатеринбург;БП-00001831;3;;Константин Доронин
139;01.07.2024;Склад отв хранения Екатеринбург;БП-00001821;2;;Константин Доронин
139;01.07.2024;Склад отв хранения Екатеринбург;CB.002.0640.001;1;;Константин Доронин
139;01.07.2024;Склад отв хранения Екатеринбург;CB.002.0604.001.13;3;;Константин Доронин
139;01.07.2024;Склад отв хранения Екатеринбург;CB.002.0204.003.11;25;;Константин Доронин
139;01.07.2024;Склад отв хранения Екатеринбург;CB.002.0204.003.13;10;;Константин Доронин
139;01.07.2024;Склад отв хранения Екатеринбург;CB.002.0204.003.15;10;;Константин Доронин
139;01.07.2024;Склад отв хранения Екатеринбург;CB.002.0203.001.20;3;;Константин Доронин
139;01.07.2024;Склад отв хранения Екатеринбург;CB.002.0206.001 ;8;;Константин Доронин
139;01.07.2024;Склад отв хранения Екатеринбург;C.01.SPF02.0012;2;;Константин Доронин
139;01.07.2024;Склад отв хранения Екатеринбург;C.01.SPF02.0013;2;;Константин Доронин
139;01.07.2024;Склад отв хранения Екатеринбург;C.01.SPF02.0011;1;;Константин Доронин
139;01.07.2024;Склад отв хранения Екатеринбург;БП-00001855;3;;Константин Доронин
139;01.07.2024;Склад отв хранения Екатеринбург;CB.002.0606.0001.30;4;;Константин Доронин
142;02.07.2024;Склад отв хранения Новосибирск;БП-00001854;20;;Андрей Долгодворов
142;02.07.2024;Склад отв хранения Новосибирск;CB.002.0606.0001;10;;Андрей Долгодворов
142;02.07.2024;Склад отв хранения Новосибирск;CB.002.0204.003.13;10;;Андрей Долгодворов
142;02.07.2024;Склад отв хранения Новосибирск;БП-00001122;50;;Андрей Долгодворов
796;10.07.2024;"ООО ""ЭкоСистема""";СВ.050.0224.0006;50;10131010/210324/3073296;Андрей Долгодворов
904;26.07.2024;"ООО ""Северная Компания""";CB.002.0203.001;18;10131010/240624/3152380;Александр Иванов
