container_num_short,container_num_lobg,departure_date,eta,arrival_date,station,ci_number,custom_clearance,gtd,assortment,quantity,assortment_id
B51,DLRU0007902,26.08.2023,04.10.2023,04.10.2023,Ворсино,,да,,CB.002.0204.003,44,
B51,DLRU0007902,26.08.2023,04.10.2023,04.10.2023,Ворсино,,да,,CB.002.0224.0003,175,
B51,DLRU0007902,26.08.2023,04.10.2023,04.10.2023,Ворсино,,да,,CB.002.0603.001,305,
B44,TKRU4381661,26.08.2023,04.10.2023,04.10.2023,Ворсино,,да,,CB.050.0204.0005,552,
B45,NEPU4512520,26.08.2023,26.09.2023,26.09.2023,Ворсино,,да,,CB.050.0204.0005,548,
B45,NEPU4512520,26.08.2023,26.09.2023,26.09.2023,Ворсино,,да,,CB.002.0203.001,4,
B50,NEPU4523844,26.08.2023,04.10.2023,04.10.2023,Ворсино,,да,,CB.002.0204.003,552,
B46,TKRU4581280,26.08.2023,04.10.2023,04.10.2023,Ворсино,,да,,CB.050.0224.0005,550,
B47,RZDU5200567,26.08.2023,26.09.2023,26.09.2023,Ворсино,,да,,CB.050.0224.0005,550,
B48,NEPU4511340,26.08.2023,26.09.2023,26.09.2023,Ворсино,,да,,CB.050.0224.0005,530,
B48,NEPU4511340,26.08.2023,26.09.2023,26.09.2023,Ворсино,,да,,CB.002.0203.0008,22,
B49,TKRU4670221,26.08.2023,04.10.2023,04.10.2023,Ворсино,,да,,CB.050.0204.0004,550,
B52,SEKU6538661,26.08.2023,26.09.2023,26.09.2023,Ворсино,,да,,CB.050.0204.0004,550,
B53,SEKU6538785,26.08.2023,26.09.2023,26.09.2023,Ворсино,,да,,CB.002.0206.001,200,
B53,SEKU6538785,26.08.2023,26.09.2023,26.09.2023,Ворсино,,да,,CB.002.0203.001,26,
B53,SEKU6538785,26.08.2023,26.09.2023,26.09.2023,Ворсино,,да,,CB.050.0224.0006,251,
B56,HMCU9207339,25.09.2023,10.11.2023,10.11.2023,Электроугли,,да,,CB.002.0203.001,552,
B57,GLDU0682920,25.09.2023,10.11.2023,10.11.2023,Электроугли,,да,,CB.002.0203.001,363,
B57,GLDU0682920,25.09.2023,10.11.2023,10.11.2023,Электроугли,,да,,CB.002.0204.003,189,
B58,NEPU4528960,23.10.2023,09.11.2023,09.11.2023,Ворсино,SN1231023001,да,,CB.002.0203.001,552,
B59,TKRU4424721,20.10.2023,25.11.2023,25.11.2023,Селятино,,да,,CB.002.0203.001,270,
B59,TKRU4424721,20.10.2023,25.11.2023,25.11.2023,Селятино,,да,,CB.002.0640.001,60,
B59,TKRU4424721,20.10.2023,25.11.2023,25.11.2023,Селятино,,да,,CB.002.0604.001,100,
B59,TKRU4424721,20.10.2023,25.11.2023,25.11.2023,Селятино,,да,,CB.002.0350.0001,56,
B60,NEPU5000088,09.11.2023,01.12.2023,01.12.2023,Ворсино,,да,,CB.050.0224.0005,552,
B61,NEPU6005802,11.11.2023,01.12.2023,01.12.2023,Ворсино,SN1231113001,да,,CB.050.0224.0005,530,
B61,NEPU6005802,11.11.2023,01.12.2023,01.12.2023,Ворсино,SN1231113001,да,,AF.05.01.0020,60,
B62,NEPU6006460,13.11.2023,01.12.2023,01.12.2023,Ворсино,SN1231113002,да,,CB.050.0224.0005,268,
B62,NEPU6006460,13.11.2023,01.12.2023,01.12.2023,Ворсино,SN1231113002,да,,CB.002.0203.001,84,
B62,NEPU6006460,13.11.2023,01.12.2023,01.12.2023,Ворсино,SN1231113002,да,,CB.050.0224.0006,200,
B63,SEKU6246356,17.11.2023,06.12.2023,06.12.2023,Ворсино,SN1231117001,да,,CB.050.0224.0006,552,
B64,TRLU6860537,07.12.2023,30.12.2024,30.12.2024,Электроугли,,да,,CB.050.0224.0005,552,
B65,NEPU4563683,08.12.2023,03.01.2024,03.01.2024,Электроугли,SN1231208002,да,,CB.050.0224.0005,552,
B66,SEKU6531158,08.12.2023,10.01.2024,10.01.2024,Электроугли,,да,,CB.050.0224.0005,304,
B66,SEKU6531158,08.12.2023,10.01.2024,10.01.2024,Электроугли,,да,,CB.050.0224.0006,6,
B67,NEPU4581054,16.12.2023,29.01.2024,29.01.2024,Электроугли,SN1231023001,да,,CB.002.0203.001,552,
B68,NEPU4580633,18.12.2023,29.01.2024,29.01.2024,Электроугли,SN1231218002,да,,CB.002.0203.001,358,
B68,NEPU4580633,18.12.2023,29.01.2024,29.01.2024,Электроугли,SN1231218002,да,,CB.002.0203.001,194,
B69,NLRU4001570,27.12.2023,29.01.2024,29.01.2024,Электроугли,SN1231229002,да,,CB.033.0204.0001,520,
B69,NLRU4001570,27.12.2023,29.01.2024,29.01.2024,Электроугли,SN1231229002,да,,CB.033.1404.0001,117,
B69,NLRU4001570,27.12.2023,29.01.2024,29.01.2024,Электроугли,SN1231229002,да,,CB.033.1424.0001,0,
B70,NLRU4006946,28.12.2023,29.01.2024,29.01.2024,Электроугли,,да,,CB.033.0224.0001,370,
B70,NLRU4006946,28.12.2023,29.01.2024,29.01.2024,Электроугли,,да,,CB.033.1424.0001,136,
B70,NLRU4006946,28.12.2023,29.01.2024,29.01.2024,Электроугли,,да,,CB.002.0203.001,46,
H10,TKRU4599777,20.10.2023,25.11.2023,25.11.2023,Селятино,,да,,CB.002.0204.003,106,
H10,TKRU4599777,20.10.2023,25.11.2023,25.11.2023,Селятино,,да,,C.01.SPF02.0016,300,
H10,TKRU4599777,20.10.2023,25.11.2023,25.11.2023,Селятино,,да,,C.01.SPF02.0020,250,
H10,TKRU4599777,20.10.2023,25.11.2023,25.11.2023,Селятино,,да,,C.01.SPF02.0013,100,
H10,TKRU4599777,20.10.2023,25.11.2023,25.11.2023,Селятино,,да,,1.01.18.0032,100,
H10,TKRU4599777,20.10.2023,25.11.2023,25.11.2023,Селятино,,да,,C.01.SPF02.0011,50,
H10,TKRU4599777,20.10.2023,25.11.2023,25.11.2023,Селятино,,да,,1.01.18.0032,50,
B1,FITU5621089,24.01.2024,13.03.2024,12.03.2024,Белый Раст,SN1240124001,да,,CB.002.0640.001,150,
B1,FITU5621089,24.01.2024,13.03.2024,12.03.2024,Белый Раст,SN1240124001,да,,CB.002.0350.0001,80,
B1,FITU5621089,24.01.2024,13.03.2024,12.03.2024,Белый Раст,SN1240124001,да,,C.01.SPF02.0015,375,
B2,APZU4440408,02.01.2024,13.03.2024,12.03.2024,Белый Раст,SN1240201001,да,,CB.002.0204.003,50,
B2,APZU4440408,02.01.2024,13.03.2024,12.03.2024,Белый Раст,SN1240201001,да,,CB.002.0204.003,30,
B2,APZU4440408,02.01.2024,13.03.2024,12.03.2024,Белый Раст,SN1240201001,да,,CB.002.0204.003,30,
B2,APZU4440408,02.01.2024,13.03.2024,12.03.2024,Белый Раст,SN1240201001,да,,CB.002.0604.0002,20,
B2,APZU4440408,02.01.2024,13.03.2024,12.03.2024,Белый Раст,SN1240201001,да,,CB.002.0604.0002,20,
B2,APZU4440408,02.01.2024,13.03.2024,12.03.2024,Белый Раст,SN1240201001,да,,CB.002.0604.001,30,
B2,APZU4440408,02.01.2024,13.03.2024,12.03.2024,Белый Раст,SN1240201001,да,,CB.002.0604.001,35,
B2,APZU4440408,02.01.2024,13.03.2024,12.03.2024,Белый Раст,SN1240201001,да,,CB.002.0604.001,35,
B2,APZU4440408,02.01.2024,13.03.2024,12.03.2024,Белый Раст,SN1240201001,да,,CB.050.0224.0005,30,
B2,APZU4440408,02.01.2024,13.03.2024,12.03.2024,Белый Раст,SN1240201001,да,,CB.002.0203.0006,20,
B2,APZU4440408,02.01.2024,13.03.2024,12.03.2024,Белый Раст,SN1240201001,да,,CB.002.0203.0008,10,
