assortment_id;product_id;factory_code;model;name_rus;series;ean_13;rrp;net_weight_kg;gross_weight_kg
01;01;CB.002.0203.0006;M24T;Котел газовый MIZUDO M24T (24 кВт, 2 Т/О) OPT WiFi черная панель;Maestro Gem;6961136583864;4999;29,70;32,25
02;01;CB.002.0203.0007;M24T;Котел газовый MIZUDO M24T (24 кВт, 2 Т/О) OPT WiFi голубая панель;Maestro Gem;6961136583888;4999;29,85;32,35
03;01;CB.002.0203.0008;M24T;Котел газовый MIZUDO M24T (24 кВт, 2 Т/О) OPT белая панель;Maestro Gem;6961136583871;4999;30,50;32,55
04;01;CB.002.0203.001;M24T;Котел газовый MIZUDO M24T (24 кВт, 2 Т/О) OPT;Maestro Lux;6961136583857;4299;27,75;30,40
05;01;CB.002.0203.001.18;M18T;Котел газовый MIZUDO M18T (18 кВт, 2 Т/О) OPT;Maestro Lux;6961136594433;;;
06;01;CB.002.0203.001.20;M20T;Котел газовый MIZUDO M20T (20 кВт, 2 Т/О) OPT;Maestro Lux;6961136594440;4299;;
07;01;CB.002.0204.0003;M18;Котел газовый MIZUDO M18 (18 кВт) OPT;Neat Open;6961136583932;3599;;
08;01;CB.002.0204.003;M17T;Котел газовый MIZUDO M17T (17 кВт, 2 Т/O) OPT;Maestro Lux;6961136583789;4099;25,30;28,80
09;01;CB.002.0204.003.11;M11T;Котел газовый MIZUDO M11T (11 кВт, 2 Т/O) OPT;Maestro Lux;6961136594402;4099;;
10;01;CB.002.0204.003.13;M13T;Котел газовый MIZUDO M13T (13 кВт, 2 Т/O) OPT;Maestro Lux;6961136594419;4099;;
11;01;CB.002.0204.003.15;M15T;Котел газовый MIZUDO M15T (15 кВт, 2 Т/O) OPT;Maestro Lux;6961136594426;4099;;
12;01;CB.002.0205.001;M36T;Котел газовый MIZUDO M36T (36 кВт, 2 Т/O) OPT;Maestro Lux;6961136583918;5999;34,30;37,50
13;01;CB.002.0206.001;M32T;Котел газовый MIZUDO M32T (32 кВт, 2 Т/O) OPT;Maestro Lux;6961136583901;5699;33,80;36,80
14;01;CB.002.0206.001.30;M30T;Котел газовый MIZUDO M30T (30 кВт, 2 Т/O) OPT;Maestro Lux;6961136594457;;;
15;01;CB.002.0207.001;M28T;Котел газовый MIZUDO M28T (28 кВт, 2 Т/O) OPT;Maestro Lux;6961136583895;5499;33,35;35,35
16;01;CB.002.0224.0003;M24;Котел газовый MIZUDO M24 (24 кВт) OPT;Neat Open;6961136583949;3799;25,35;28,10
17;01;CB.002.0224.0003.20;M20;Котел газовый MIZUDO M20 (20 кВт) OPT;Neat Open;6961136594464;;;
